Sender,Receiver,Amount,Category,Transaction_Date,Fraudulent
29338,56327,3590,2,128,0
13842,30694,3057,0,53,0
26423,67075,2265,4,34,0
37839,10360,272,2,510,0
35979,39194,569,1,359,1
68592,48317,2990,2,39,0
33278,26487,4079,1,459,0
35206,94063,3064,2,448,0
99459,62018,3960,2,539,0
23958,72270,1419,1,509,0
17650,78773,3727,1,253,0
63943,47684,1235,1,397,0
82635,17585,3476,0,398,1
16564,34627,1969,0,311,0
79398,41124,4357,3,78,0
18765,54233,3713,0,379,0
55301,45295,3848,1,134,0
90812,26209,298,0,460,0
34868,66287,3195,4,501,0
69349,60831,4686,1,179,0
29823,24806,2698,3,474,0
10006,58358,3422,4,322,0
69734,91397,822,0,273,0
51602,32124,4228,3,508,0
63607,46516,4657,2,375,0
77731,66891,2675,0,244,0
32584,26487,1626,0,395,0
63309,71449,3176,2,47,0
24331,37368,3748,1,94,0
38391,23635,1012,1,63,0
43828,12961,410,0,165,0
84821,88815,1709,2,211,0
16564,15142,702,0,20,0
17187,11972,4732,3,431,0
32584,65705,4699,0,126,0
53756,93128,3040,3,158,0
78204,73059,4798,4,278,0
88410,82043,4415,1,60,0
56138,89514,4787,2,380,0
79206,90074,658,0,345,0
66248,89262,1351,3,340,0
94110,86991,1837,0,171,0
72449,37509,1209,2,465,0
15356,47911,2340,4,197,0
51240,30761,1939,4,261,0
88026,29517,3733,4,537,0
41882,87508,1932,2,218,0
48159,24806,3800,2,66,0
63716,54048,4820,0,19,0
84406,46917,3650,4,315,1
37219,98668,4554,1,148,0
65001,26866,36,4,482,0
26948,45983,4831,4,256,0
26948,40230,2303,0,479,1
75709,59496,4637,1,475,0
45642,74936,374,0,174,0
19836,65375,1298,4,62,0
54039,10989,1154,2,466,0
90238,39177,1477,2,391,0
47728,71900,1617,4,223,0
63943,81202,1580,3,423,0
87406,46194,2032,4,213,0
77539,71449,3692,1,410,0
75709,57846,90,4,355,0
20643,58291,3634,3,428,0
78480,93379,2714,2,175,0
67427,23214,3039,3,318,0
92967,15745,1173,0,112,0
59113,45642,109,2,520,0
35363,41124,1337,1,339,0
94231,39177,3675,2,413,0
66248,55360,3784,1,129,0
69038,65876,3690,3,427,0
29359,84102,1927,0,293,0
65567,81112,4497,1,287,0
99303,88906,4286,1,228,0
44774,56000,4409,1,330,0
73478,74936,2551,4,303,0
52275,98808,1842,1,258,0
50270,44945,1563,0,173,0
97700,23609,822,1,193,0
57861,33481,3751,1,170,0
43159,85437,1246,3,453,1
28376,37434,1675,0,62,0
93936,17012,3256,1,356,0
43828,26209,1072,0,207,0
92242,50087,273,4,312,0
42883,26149,1999,2,491,0
36046,85437,2844,1,432,0
61540,73059,1893,3,386,0
46625,44945,25,3,216,0
10900,20990,4489,4,84,0
59264,32124,2745,0,209,0
38391,44945,79,0,49,0
36563,11417,1904,0,136,0
92242,59563,2726,1,371,0
84406,79749,3969,2,429,0
74392,18430,4470,0,159,0
96859,12767,2861,4,217,0
52342,91518,741,1,255,0
63863,95898,1353,2,294,0
58977,64773,1238,4,7,0
77539,53755,1916,4,414,0
97766,59712,4627,2,445,0
42530,28315,2724,3,195,1
29155,39658,4133,0,353,0
93955,23539,4814,3,484,0
67844,85437,2806,0,210,0
88942,68290,4754,4,447,0
74071,74223,3224,4,298,0
32115,25716,1271,0,316,0
31692,11513,1737,4,26,0
27658,42507,2081,2,191,0
77002,17012,3873,3,64,0
81537,96690,3593,0,382,0
56545,83183,1236,1,357,0
20373,15952,4932,3,219,0
98827,17200,998,1,253,0
81397,33072,3564,1,338,1
93611,65258,3241,1,181,0
89741,24447,2394,3,288,0
69349,40076,1244,1,538,0
63607,46917,2072,0,346,0
79398,16692,166,3,438,0
33754,98681,3496,4,43,0
78143,24712,867,4,0,0
21173,51038,987,1,301,0
53233,58500,4979,0,385,0
87173,39717,1152,1,385,0
14423,98668,1852,4,92,1
79886,83176,1822,2,193,0
63943,33250,3388,4,392,0
56434,28033,956,0,500,0
84374,62374,3991,0,182,0
36911,56327,2295,4,267,0
46770,40001,2852,0,289,0
17574,81954,1998,4,279,0
74071,88906,2827,4,88,1
90830,60273,2954,4,298,0
79567,42507,4498,0,51,0
30677,54036,2935,1,214,1
40186,15674,135,3,103,0
43730,15952,3554,3,178,0
97438,81591,2001,3,411,0
58588,12961,1597,0,505,0
27658,79755,1080,2,7,0
91816,28472,1047,3,152,1
12243,79214,2930,0,377,0
37093,12767,1696,4,345,0
82274,81954,4469,1,163,0
65651,13513,480,1,406,0
36578,70607,1660,0,199,0
78480,80354,1358,1,315,0
35206,82110,2349,1,402,0
81397,79310,40,3,123,0
49678,46941,383,4,309,0
64777,26209,285,0,133,0
67254,40001,1667,1,231,0
92242,47010,178,1,445,1
36908,53834,203,2,101,0
15607,81265,880,4,331,0
38923,78198,1032,0,428,0
73084,21946,3197,1,169,0
59113,79001,2161,1,476,0
15356,93379,3142,2,503,0
68229,96561,4519,3,24,0
40137,70219,296,4,372,0
37093,32124,1796,1,304,0
31692,87508,4808,3,459,0
90993,61020,3300,1,538,0
94110,83547,436,1,91,0
88410,17283,2037,3,349,0
87173,93603,4262,2,508,0
17157,76168,637,2,469,0
13849,44974,4851,0,79,0
36911,28139,4593,1,220,0
13053,58358,3728,4,16,0
74544,11033,954,2,300,0
33278,27088,3915,0,511,0
43357,65129,2066,4,184,0
69589,53355,2373,2,160,0
84406,74468,4396,0,486,1
29338,59496,936,4,195,0
96413,15975,1157,2,244,0
36046,82672,848,1,116,0
34908,37938,4651,1,350,0
82305,45295,1612,3,3,0
87173,77442,2655,4,142,0
33754,65705,626,4,74,0
90812,18266,1036,1,86,0
90982,30759,4891,1,326,0
24417,93379,4455,4,374,0
28883,42507,3518,2,97,0
99950,65258,710,2,212,0
60486,84102,4976,1,206,0
28382,39177,338,0,400,0
61856,78656,3503,1,147,0
59264,25361,2297,4,398,0
97700,37368,1791,3,370,0
72729,89426,1587,2,237,0
67844,84250,4825,4,46,0
61179,17877,3771,2,35,0
59757,77442,2615,3,241,0
27658,50247,518,3,196,0
99303,87671,1097,1,300,0
52243,44469,4745,3,376,0
46585,51680,4135,0,360,0
90238,97396,3159,4,400,0
93796,33112,4244,1,308,0
52243,57846,3408,0,428,0
48599,21631,2509,2,168,0
52275,28286,4509,2,83,0
26249,28113,61,3,102,0
27758,91803,3185,3,269,0
14751,16002,1331,0,5,0
29359,15935,1535,0,250,0
90830,88815,1868,1,201,0
52983,19403,1533,3,370,0
18183,57781,228,4,216,0
69589,26909,3765,1,423,0
33964,27849,3643,3,490,0
46770,93379,4473,4,430,0
73478,51786,4617,3,446,0
38880,52814,4416,4,473,0
37219,89529,2217,1,162,0
20452,65258,797,4,170,0
73067,90333,2297,2,486,0
46430,83333,2093,4,357,0
13053,93361,4675,4,275,0
68424,23609,158,0,71,0
37503,84102,2516,4,402,0
46430,15935,1369,2,97,0
90982,20152,1681,2,259,0
50026,15975,4996,4,218,0
23705,88385,3088,2,82,0
92967,24806,3797,1,458,0
68293,66057,622,0,524,0
31192,62469,3125,1,247,0
45600,82857,2239,2,423,0
11486,91499,1078,2,102,0
65981,51680,2127,0,65,0
12428,64676,2255,3,131,0
18284,29760,1930,4,393,0
81100,68209,3894,4,112,0
36556,23513,3685,3,406,1
61985,25800,3780,1,365,0
29823,93379,2825,1,109,0
35979,47708,2646,2,536,0
60486,28655,3451,1,96,0
39461,30707,3968,0,291,0
17650,68248,1211,1,439,0
32736,60831,4413,4,98,0
75812,65319,2912,4,393,0
26249,55647,2324,4,419,0
11966,46194,4249,2,294,0
87926,21946,4001,4,271,0
15987,51625,2840,2,99,0
67674,79339,3746,1,436,0
62179,50707,4839,2,302,0
26249,89514,1337,0,519,0
52983,45047,4622,2,285,0
65411,18266,2678,2,543,0
29513,45755,4087,3,325,0
90031,64676,274,2,34,0
55513,73059,425,1,264,0
37093,48758,2239,0,43,0
36911,14952,1459,3,198,0
33306,44945,1226,2,114,0
