Sender,Receiver,Amount,Category,Transaction_Date,Fraudulent
29338,56327,8.186185994226083,2,2023-07-11,0
13842,30694,8.025516386489008,0,2023-04-06,0
26423,67075,7.725771441587952,4,2023-03-09,0
37839,10360,5.60947179518496,2,2024-12-09,0
35979,39194,6.345636360828596,1,2024-05-25,1
68592,48317,8.003363058629947,2,2023-03-19,0
33278,26487,8.313852267398207,1,2024-10-03,0
35206,94063,8.027802848370312,2,2024-09-20,0
99459,62018,8.284251797621916,2,2025-01-16,0
23958,72270,7.258412150595307,1,2024-12-08,0
17650,78773,8.223627175805483,1,2023-12-20,0
63943,47684,7.119635638017636,1,2024-07-10,0
82635,17585,8.153925132007862,0,2024-07-12,1
16564,34627,7.585788821732034,0,2024-03-20,0
79398,41124,8.379768515504566,3,2023-05-04,0
18765,54233,8.219864741912652,0,2024-06-16,0
55301,45295,8.255568653283746,1,2023-07-18,0
90812,26209,5.700443573390687,0,2024-10-05,0
34868,66287,8.069655306886165,4,2024-11-27,0
69349,60831,8.452547997922705,1,2023-09-17,0
29823,24806,7.900636613018005,3,2024-10-23,0
10006,58358,8.138272638530186,4,2024-04-07,0
69734,91397,6.71295620067707,0,2024-01-23,0
51602,32124,8.34972083747249,3,2024-12-07,0
63607,46516,8.446341450444287,2,2024-06-11,0
77731,66891,7.892078421248119,0,2023-12-09,0
32584,26487,7.394493107219038,0,2024-07-08,0
63309,71449,8.063692634269517,2,2023-03-29,0
24331,37368,8.229244416735913,1,2023-05-25,0
38391,23635,6.920671504248683,1,2023-04-17,0
43828,12961,6.018593214496234,0,2023-09-01,0
84821,88815,7.444248649496705,2,2023-10-25,0
16564,15142,6.555356891810665,0,2023-02-19,0
17187,11972,8.462314529906248,3,2024-08-31,0
32584,65705,8.45531778769815,0,2023-07-08,0
53756,93128,8.019941687677365,3,2023-08-23,0
78204,73059,8.476162841858246,4,2024-02-02,0
88410,82043,8.392989587956931,1,2023-04-14,0
56138,89514,8.473868066677865,2,2024-06-17,0
79206,90074,6.490723534502507,0,2024-05-11,0
66248,89262,7.20934025660291,3,2024-05-04,0
94110,86991,7.516433302915632,0,2023-09-08,0
72449,37509,7.098375638590786,2,2024-10-11,0
15356,47911,7.75833346749091,4,2023-10-08,0
51240,30761,7.570443252057374,4,2024-01-04,0
88026,29517,8.225235324101668,4,2025-01-14,0
41882,87508,7.566828479208331,2,2023-11-03,0
48159,24806,8.24301946898925,2,2023-04-21,0
63716,54048,8.480736654405622,0,2023-02-18,0
84406,46917,8.202756381655638,4,2024-03-27,1
37219,98668,8.423980809694058,1,2023-08-06,0
65001,26866,3.6109179126442243,4,2024-11-02,0
26948,45983,8.48301573961465,4,2023-12-29,0
26948,40230,7.742402021815782,0,2024-10-30,1
75709,59496,8.442038517815478,1,2024-10-26,0
45642,74936,5.926926025970411,0,2023-09-12,0
19836,65375,7.1693500166706,4,2023-04-16,0
54039,10989,7.051855622955894,2,2024-10-12,0
90238,39177,7.298445101508147,2,2024-07-03,0
47728,71900,7.388946097618437,4,2023-11-11,0
63943,81202,7.365812837209472,3,2024-08-17,0
87406,46194,7.617267813628347,4,2023-10-28,0
77539,71449,8.214194414852564,1,2024-07-30,0
