Sender,Receiver,Amount,Category,Transaction_Date,Fraudulent
29338,56327,3590,Entertainment,2023-07-11,0
13842,30694,3057,Bills,2023-04-06,0
26423,67075,2265,Travel,2023-03-09,0
37839,10360,272,Entertainment,2024-12-09,0
35979,39194,569,Electronics,2024-05-25,1
68592,48317,2990,Entertainment,2023-03-19,0
33278,26487,4079,Electronics,2024-10-03,0
35206,94063,3064,Entertainment,2024-09-20,0
99459,62018,3960,Entertainment,2025-01-16,0
23958,72270,1419,Electronics,2024-12-08,0
17650,78773,3727,Electronics,2023-12-20,0
63943,47684,1235,Electronics,2024-07-10,0
82635,17585,3476,Bills,2024-07-12,1
16564,34627,1969,Bills,2024-03-20,0
79398,41124,4357,Groceries,2023-05-04,0
18765,54233,3713,Bills,2024-06-16,0
55301,45295,3848,Electronics,2023-07-18,0
90812,26209,298,Bills,2024-10-05,0
34868,66287,3195,Travel,2024-11-27,0
69349,60831,4686,Electronics,2023-09-17,0
29823,24806,2698,Groceries,2024-10-23,0
10006,58358,3422,Travel,2024-04-07,0
69734,91397,822,Bills,2024-01-23,0
51602,32124,4228,Groceries,2024-12-07,0
63607,46516,4657,Entertainment,2024-06-11,0
77731,66891,2675,Bills,2023-12-09,0
32584,26487,1626,Bills,2024-07-08,0
63309,71449,3176,Entertainment,2023-03-29,0
24331,37368,3748,Electronics,2023-05-25,0
38391,23635,1012,Electronics,2023-04-17,0
43828,12961,410,Bills,2023-09-01,0
84821,88815,1709,Entertainment,2023-10-25,0
16564,15142,702,Bills,2023-02-19,0
17187,11972,4732,Groceries,2024-08-31,0
32584,65705,4699,Bills,2023-07-08,0
53756,93128,3040,Groceries,2023-08-23,0
78204,73059,4798,Travel,2024-02-02,0
88410,82043,4415,Electronics,2023-04-14,0
56138,89514,4787,Entertainment,2024-06-17,0
79206,90074,658,Bills,2024-05-11,0
66248,89262,1351,Groceries,2024-05-04,0
94110,86991,1837,Bills,2023-09-08,0
72449,37509,1209,Entertainment,2024-10-11,0
15356,47911,2340,Travel,2023-10-08,0
51240,30761,1939,Travel,2024-01-04,0
88026,29517,3733,Travel,2025-01-14,0
41882,87508,1932,Entertainment,2023-11-03,0
48159,24806,3800,Entertainment,2023-04-21,0
63716,54048,4820,Bills,2023-02-18,0
84406,46917,3650,Travel,2024-03-27,1
37219,98668,4554,Electronics,2023-08-06,0
65001,26866,36,Travel,2024-11-02,0
26948,45983,4831,Travel,2023-12-29,0
26948,40230,2303,Bills,2024-10-30,1
75709,59496,4637,Electronics,2024-10-26,0
45642,74936,374,Bills,2023-09-12,0
19836,65375,1298,Travel,2023-04-16,0
54039,10989,1154,Entertainment,2024-10-12,0
90238,39177,1477,Entertainment,2024-07-03,0
47728,71900,1617,Travel,2023-11-11,0
63943,81202,1580,Groceries,2024-08-17,0
87406,46194,2032,Travel,2023-10-28,0
77539,71449,3692,Electronics,2024-07-30,0
75709,57846,90,Travel,2024-05-21,0
20643,58291,3634,Groceries,2024-08-28,0
78480,93379,2714,Entertainment,2023-09-13,0
67427,23214,3039,Groceries,2024-04-02,0
92967,15745,1173,Bills,2023-06-17,0
59113,45642,109,Entertainment,2024-12-19,0
35363,41124,1337,Electronics,2024-05-03,0
94231,39177,3675,Entertainment,2024-08-04,0
66248,55360,3784,Electronics,2023-07-12,0
69038,65876,3690,Groceries,2024-08-26,0
29359,84102,1927,Bills,2024-02-27,0
65567,81112,4497,Electronics,2024-02-17,0
99303,88906,4286,Electronics,2023-11-21,0
44774,56000,4409,Electronics,2024-04-17,0
73478,74936,2551,Travel,2024-03-10,0
52275,98808,1842,Electronics,2024-01-01,0
50270,44945,1563,Bills,2023-09-10,0
97700,23609,822,Electronics,2023-10-02,0
57861,33481,3751,Electronics,2023-09-07,0
43159,85437,1246,Groceries,2024-09-27,1
28376,37434,1675,Bills,2023-04-16,0
93936,17012,3256,Electronics,2024-05-22,0
43828,26209,1072,Bills,2023-10-20,0
92242,50087,273,Travel,2024-03-22,0
42883,26149,1999,Entertainment,2024-11-16,0
36046,85437,2844,Electronics,2024-09-01,0
61540,73059,1893,Groceries,2024-06-24,0
46625,44945,25,Groceries,2023-11-01,0
10900,20990,4489,Travel,2023-05-11,0
59264,32124,2745,Bills,2023-10-22,0
38391,44945,79,Bills,2023-04-01,0
36563,11417,1904,Bills,2023-07-21,0
92242,59563,2726,Electronics,2024-06-07,0
84406,79749,3969,Entertainment,2024-08-29,0
74392,18430,4470,Bills,2023-08-24,0
96859,12767,2861,Travel,2023-11-02,0
52342,91518,741,Electronics,2023-12-23,0
63863,95898,1353,Entertainment,2024-02-28,0
58977,64773,1238,Travel,2023-02-05,0
77539,53755,1916,Travel,2024-08-06,0
97766,59712,4627,Entertainment,2024-09-17,0
42530,28315,2724,Groceries,2023-10-04,1
29155,39658,4133,Bills,2024-05-19,0
93955,23539,4814,Groceries,2024-11-05,0
67844,85437,2806,Bills,2023-10-24,0
88942,68290,4754,Travel,2024-09-19,0
74071,74223,3224,Travel,2024-03-03,0
